code,description,last_updated
N393,Stress incontinence,2025-09-12
N394,Other specified urinary incontinence,2025-09-12
N398,Other specified disorders of urinary system,2025-09-12
N399,"Disorder of urinary system, unspecified",2025-09-12
N40,,2025-09-12
N41,,2025-09-12
N410,Acute prostatitis,2025-09-12
N411,Chronic prostatitis,2025-09-12
N412,Abscess of prostate,2025-09-12
N413,Prostatocystitis,2025-09-12
N418,Other inflammatory diseases of prostate,2025-09-12
N419,"Inflammatory disease of prostate, unspecified",2025-09-12
N42,,2025-09-12
N420,Calculus of prostate,2025-09-12
N421,Congestion and haemorrhage of prostate,2025-09-12
N422,Atrophy of prostate,2025-09-12
N423,Dysplasia of prostate,2025-09-12
N428,Other specified disorders of prostate,2025-09-12
N429,"Disorder of prostate, unspecified",2025-09-12
N43,,2025-09-12
N430,Encysted hydrocele,2025-09-12
N431,Infected hydrocele,2025-09-12
N432,Other hydrocele,2025-09-12
N433,"Hydrocele, unspecified",2025-09-12
N434,Spermatocele,2025-09-12
N44,,2025-09-12
N45,,2025-09-12
N450,"Orchitis, epididymitis and epididymo-orchitis with abscess",2025-09-12
N459,"Orchitis, epididymitis and epididymo-orchitis without abscess",2025-09-12
N46,,2025-09-12
N47,,2025-09-12
N48,,2025-09-12
N480,Leukoplakia of penis,2025-09-12
N481,Balanoposthitis,2025-09-12
N482,Other inflammatory disorders of penis,2025-09-12
N483,Priapism,2025-09-12
N484,Impotence of organic origin,2025-09-12
N485,Ulcer of penis,2025-09-12
N486,Induratio penis plastica,2025-09-12
N488,Other specified disorders of penis,2025-09-12
N489,"Disorder of penis, unspecified",2025-09-12
N49,,2025-09-12
N490,Inflammatory disorders of seminal vesicle,2025-09-12
N491,"Inflammatory disorders of spermatic cord, tunica vaginalis and vas deferens",2025-09-12
N492,Inflammatory disorders of scrotum,2025-09-12
N498,Inflammatory disorders of other specified male genital organs,2025-09-12
N499,Inflammatory disorder of unspecified male genital organ,2025-09-12
N50,,2025-09-12
N500,Atrophy of testis,2025-09-12
N501,Vascular disorders of male genital organs,2025-09-12
N508,Other specified disorders of male genital organs,2025-09-12
N509,"Disorder of male genital organs, unspecified",2025-09-12
N51,,2025-09-12
N510,Disorders of prostate in diseases classified elsewhere,2025-09-12
N511,Disorders of testis and epididymis in diseases classified elsewhere,2025-09-12
N512,Balanitis in diseases classified elsewhere,2025-09-12
N518,Other disorders of male genital organs in diseases classified elsewhere,2025-09-12
N60,,2025-09-12
N600,Solitary cyst of breast,2025-09-12
N601,Diffuse cystic mastopathy,2025-09-12
N602,Fibroadenosis of breast,2025-09-12
N603,Fibrosclerosis of breast,2025-09-12
N604,Mammary duct ectasia,2025-09-12
N608,Other benign mammary dysplasias,2025-09-12
N609,"Benign mammary dysplasia, unspecified",2025-09-12
N61,,2025-09-12
N62,,2025-09-12
N63,,2025-09-12
N64,,2025-09-12
N640,Fissure and fistula of nipple,2025-09-12
N641,Fat necrosis of breast,2025-09-12
N642,Atrophy of breast,2025-09-12
N643,Galactorrhoea not associated with childbirth,2025-09-12
N644,Mastodynia,2025-09-12
N645,Other signs and symptoms in breast,2025-09-12
N648,Other specified disorders of breast,2025-09-12
N649,"Disorder of breast, unspecified",2025-09-12
N70,,2025-09-12
N700,Acute salpingitis and oophoritis,2025-09-12
N701,Chronic salpingitis and oophoritis,2025-09-12
N709,"Salpingitis and oophoritis, unspecified",2025-09-12
N71,,2025-09-12
N710,Acute inflammatory disease of uterus,2025-09-12
N711,Chronic inflammatory disease of uterus,2025-09-12
N719,"Inflammatory disease of uterus, unspecified",2025-09-12
N72,,2025-09-12
N73,,2025-09-12
N730,Acute parametritis and pelvic cellulitis,2025-09-12
N731,Chronic parametritis and pelvic cellulitis,2025-09-12
N732,Unspecified parametritis and pelvic cellulitis,2025-09-12
N733,Female acute pelvic peritonitis,2025-09-12
N734,Female chronic pelvic peritonitis,2025-09-12
N735,"Female pelvic peritonitis, unspecified",2025-09-12
N736,Female pelvic peritoneal adhesions,2025-09-12
N738,Other specified female pelvic inflammatory diseases,2025-09-12
N739,"Female pelvic inflammatory disease, unspecified",2025-09-12
N74,,2025-09-12
N740,Tuberculous infection of cervix uteri,2025-09-12
N741,Female tuberculous pelvic inflammatory disease,2025-09-12
N742,Female syphilitic pelvic inflammatory disease,2025-09-12
N743,Female gonococcal pelvic inflammatory disease,2025-09-12
N744,Female chlamydial pelvic inflammatory disease,2025-09-12
N748,Female pelvic inflammatory disorders in other diseases classified elsewhere,2025-09-12
N75,,2025-09-12
N750,Cyst of Bartholin gland,2025-09-12
N751,Abscess of Bartholin gland,2025-09-12
N758,Other diseases of Bartholin gland,2025-09-12
N759,"Disease of Bartholin gland, unspecified",2025-09-12
N76,,2025-09-12
N760,Acute vaginitis,2025-09-12
N761,Subacute and chronic vaginitis,2025-09-12
N762,Acute vulvitis,2025-09-12
N763,Subacute and chronic vulvitis,2025-09-12
N764,Abscess of vulva,2025-09-12
N765,Ulceration of vagina,2025-09-12
N766,Ulceration of vulva,2025-09-12
N768,Other specified inflammation of vagina and vulva,2025-09-12
N77,,2025-09-12
N770,Ulceration of vulva in infectious and parasitic diseases classified elsewhere,2025-09-12
N771,"Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere",2025-09-12
N778,Vulvovaginal ulceration and inflammation in other diseases classified elsewhere,2025-09-12
N80,,2025-09-12
N800,Endometriosis of uterus,2025-09-12
N801,Endometriosis of ovary,2025-09-12
N802,Endometriosis of fallopian tube,2025-09-12
N803,Endometriosis of pelvic peritoneum,2025-09-12
N804,Endometriosis of rectovaginal septum and vagina,2025-09-12
N805,Endometriosis of intestine,2025-09-12
N806,Endometriosis in cutaneous scar,2025-09-12
N808,Other endometriosis,2025-09-12
N809,"Endometriosis, unspecified",2025-09-12
N81,,2025-09-12
N810,Female urethrocele,2025-09-12
N811,Cystocele,2025-09-12
N812,Incomplete uterovaginal prolapse,2025-09-12
N813,Complete uterovaginal prolapse,2025-09-12
N814,"Uterovaginal prolapse, unspecified",2025-09-12
N815,Vaginal enterocele,2025-09-12
N816,Rectocele,2025-09-12
N818,Other female genital prolapse,2025-09-12
N819,"Female genital prolapse, unspecified",2025-09-12
N82,,2025-09-12
N820,Vesicovaginal fistula,2025-09-12
N821,Other female urinary-genital tract fistulae,2025-09-12
N822,Fistula of vagina to small intestine,2025-09-12
N823,Fistula of vagina to large intestine,2025-09-12
N824,Other female intestinal-genital tract fistulae,2025-09-12
N825,Female genital tract-skin fistulae,2025-09-12
N828,Other female genital tract fistulae,2025-09-12
N829,"Female genital tract fistula, unspecified",2025-09-12
N83,,2025-09-12
N830,Follicular cyst of ovary,2025-09-12
N831,Corpus luteum cyst,2025-09-12
N832,Other and unspecified ovarian cysts,2025-09-12
N833,Acquired atrophy of ovary and fallopian tube,2025-09-12
N834,Prolapse and hernia of ovary and fallopian tube,2025-09-12
N835,"Torsion of ovary, ovarian pedicle and fallopian tube",2025-09-12
N836,Haematosalpinx,2025-09-12
N837,Haematoma of broad ligament,2025-09-12
N838,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament",2025-09-12
N839,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified",2025-09-12
N84,,2025-09-12
N840,Polyp of corpus uteri,2025-09-12
N841,Polyp of cervix uteri,2025-09-12
N842,Polyp of vagina,2025-09-12
N843,Polyp of vulva,2025-09-12
N848,Polyp of other parts of female genital tract,2025-09-12
N849,"Polyp of female genital tract, unspecified",2025-09-12
N85,,2025-09-12
N850,Endometrial glandular hyperplasia,2025-09-12
N851,Endometrial adenomatous hyperplasia,2025-09-12
N852,Hypertrophy of uterus,2025-09-12
N853,Subinvolution of uterus,2025-09-12
N854,Malposition of uterus,2025-09-12
N855,Inversion of uterus,2025-09-12
N856,Intrauterine synechiae,2025-09-12
N857,Haematometra,2025-09-12
N858,Other specified noninflammatory disorders of uterus,2025-09-12
N859,"Noninflammatory disorder of uterus, unspecified",2025-09-12
N86,,2025-09-12
N87,,2025-09-12
N870,Mild cervical dysplasia,2025-09-12
N871,Moderate cervical dysplasia,2025-09-12
N872,"Severe cervical dysplasia, not elsewhere classified",2025-09-12
N879,"Dysplasia of cervix uteri, unspecified",2025-09-12
N88,,2025-09-12
N880,Leukoplakia of cervix uteri,2025-09-12
N881,Old laceration of cervix uteri,2025-09-12
N882,Stricture and stenosis of cervix uteri,2025-09-12
N883,Incompetence of cervix uteri,2025-09-12
N884,Hypertrophic elongation of cervix uteri,2025-09-12
N888,Other specified noninflammatory disorders of cervix uteri,2025-09-12
N889,"Noninflammatory disorder of cervix uteri, unspecified",2025-09-12
N89,,2025-09-12
N890,Mild vaginal dysplasia,2025-09-12
N891,Moderate vaginal dysplasia,2025-09-12
N892,"Severe vaginal dysplasia, not elsewhere classified",2025-09-12
N893,"Dysplasia of vagina, unspecified",2025-09-12
N894,Leukoplakia of vagina,2025-09-12
N895,Stricture and atresia of vagina,2025-09-12
N896,Tight hymenal ring,2025-09-12
N897,Haematocolpos,2025-09-12
N898,Other specified noninflammatory disorders of vagina,2025-09-12
N899,"Noninflammatory disorder of vagina, unspecified",2025-09-12
N90,,2025-09-12
N900,Mild vulvar dysplasia,2025-09-12
N901,Moderate vulvar dysplasia,2025-09-12
N902,"Severe vulvar dysplasia, not elsewhere classified",2025-09-12
N903,"Dysplasia of vulva, unspecified",2025-09-12
N904,Leukoplakia of vulva,2025-09-12
N905,Atrophy of vulva,2025-09-12
N906,Hypertrophy of vulva,2025-09-12
N907,Vulvar cyst,2025-09-12
N908,Other specified noninflammatory disorders of vulva and perineum,2025-09-12
N909,"Noninflammatory disorder of vulva and perineum, unspecified",2025-09-12
N91,,2025-09-12
N910,Primary amenorrhoea,2025-09-12
N911,Secondary amenorrhoea,2025-09-12
N912,"Amenorrhoea, unspecified",2025-09-12
N913,Primary oligomenorrhoea,2025-09-12
N914,Secondary oligomenorrhoea,2025-09-12
N915,"Oligomenorrhoea, unspecified",2025-09-12
N92,,2025-09-12
N920,Excessive and frequent menstruation with regular cycle,2025-09-12
N921,Excessive and frequent menstruation with irregular cycle,2025-09-12
N922,Excessive menstruation at puberty,2025-09-12
N923,Ovulation bleeding,2025-09-12
N924,Excessive bleeding in the premenopausal period,2025-09-12
N925,Other specified irregular menstruation,2025-09-12
N926,"Irregular menstruation, unspecified",2025-09-12
N93,,2025-09-12
N930,Postcoital and contact bleeding,2025-09-12
N938,Other specified abnormal uterine and vaginal bleeding,2025-09-12
N939,"Abnormal uterine and vaginal bleeding, unspecified",2025-09-12
N94,,2025-09-12
N940,Mittelschmerz,2025-09-12
N941,Dyspareunia,2025-09-12
N942,Vaginismus,2025-09-12
N943,Premenstrual tension syndrome,2025-09-12
N944,Primary dysmenorrhoea,2025-09-12
N945,Secondary dysmenorrhoea,2025-09-12
N946,"Dysmenorrhoea, unspecified",2025-09-12
N948,Other specified conditions associated with female genital organs and menstrual cycle,2025-09-12
N949,Unspecified condition associated with female genital organs and menstrual cycle,2025-09-12
N95,,2025-09-12
N950,Postmenopausal bleeding,2025-09-12
N951,Menopausal and female climacteric states,2025-09-12
N952,Postmenopausal atrophic vaginitis,2025-09-12
N953,States associated with artificial menopause,2025-09-12
N958,Other specified menopausal and perimenopausal disorders,2025-09-12
N959,"Menopausal and perimenopausal disorder, unspecified",2025-09-12
N96,,2025-09-12
N97,,2025-09-12
N970,Female infertility associated with anovulation,2025-09-12
N971,Female infertility of tubal origin,2025-09-12
N972,Female infertility of uterine origin,2025-09-12
N973,Female infertility of cervical origin,2025-09-12
N974,Female infertility associated with male factors,2025-09-12
N978,Female infertility of other origin,2025-09-12
N979,"Female infertility, unspecified",2025-09-12
N98,,2025-09-12
N980,Infection associated with artificial insemination,2025-09-12
N981,Hyperstimulation of ovaries,2025-09-12
N982,Complications of attempted introduction of fertilized ovum following in vitro fertilization,2025-09-12
N983,Complications of attempted introduction of embryo in embryo transfer,2025-09-12
N988,Other complications associated with artificial fertilization,2025-09-12
N989,"Complication associated with artificial fertilization, unspecified",2025-09-12
N99,,2025-09-12
N990,Postprocedural renal failure,2025-09-12
N991,Postprocedural urethral stricture,2025-09-12
N992,Postoperative adhesions of vagina,2025-09-12
N993,Prolapse of vaginal vault after hysterectomy,2025-09-12
N994,Postprocedural pelvic peritoneal adhesions,2025-09-12
N995,Malfunction of external stoma of urinary tract,2025-09-12
N998,Other postprocedural disorders of genitourinary system,2025-09-12
N999,"Postprocedural disorder of genitourinary system, unspecified",2025-09-12
O00,,2025-09-12
O000,Abdominal pregnancy,2025-09-12
O001,Tubal pregnancy,2025-09-12
O002,Ovarian pregnancy,2025-09-12
O008,Other ectopic pregnancy,2025-09-12
O009,"Ectopic pregnancy, unspecified",2025-09-12
O01,,2025-09-12
O010,Classical hydatidiform mole,2025-09-12
O011,Incomplete and partial hydatidiform mole,2025-09-12
O019,"Hydatidiform mole, unspecified",2025-09-12
O02,,2025-09-12
O020,Blighted ovum and nonhydatidiform mole,2025-09-12
O021,Missed abortion,2025-09-12
O028,Other specified abnormal products of conception,2025-09-12
O029,"Abnormal product of conception, unspecified",2025-09-12
O03,,2025-09-12
O030,"Incomplete, complicated by genital tract and pelvic infection",2025-09-12
O031,"Incomplete, complicated by delayed or excessive haemorrhage",2025-09-12
O032,"Incomplete, complicated by embolism",2025-09-12
O033,"Incomplete, with other and unspecified complications",2025-09-12
O034,"Incomplete, without complication",2025-09-12
O035,"Complete or unspecified, complicated by genital tract and pelvic infection",2025-09-12
O036,"Complete or unspecified, complicated by delayed or excessive haemorrhage",2025-09-12
O037,"Complete or unspecified, complicated by embolism",2025-09-12
O038,"Complete or unspecified, with other and unspecified complications",2025-09-12
O039,"Complete or unspecified, without complication",2025-09-12
O04,,2025-09-12
O040,"Incomplete, complicated by genital tract and pelvic infection",2025-09-12
O041,"Incomplete, complicated by delayed or excessive haemorrhage",2025-09-12
O042,"Incomplete, complicated by embolism",2025-09-12
O043,"Incomplete, with other and unspecified complications",2025-09-12
O044,"Incomplete, without complication",2025-09-12
O045,"Complete or unspecified, complicated by genital tract and pelvic infection",2025-09-12
O046,"Complete or unspecified, complicated by delayed or excessive haemorrhage",2025-09-12
O047,"Complete or unspecified, complicated by embolism",2025-09-12
O048,"Complete or unspecified, with other and unspecified complications",2025-09-12
O049,"Complete or unspecified, without complication",2025-09-12
O05,,2025-09-12
O050,"Incomplete, complicated by genital tract and pelvic infection",2025-09-12
O051,"Incomplete, complicated by delayed or excessive haemorrhage",2025-09-12
O052,"Incomplete, complicated by embolism",2025-09-12
O053,"Incomplete, with other and unspecified complications",2025-09-12
O054,"Incomplete, without complication",2025-09-12
O055,"Complete or unspecified, complicated by genital tract and pelvic infection",2025-09-12
O056,"Complete or unspecified, complicated by delayed or excessive haemorrhage",2025-09-12
O057,"Complete or unspecified, complicated by embolism",2025-09-12
O058,"Complete or unspecified, with other and unspecified complications",2025-09-12
O059,"Complete or unspecified, without complication",2025-09-12
O06,,2025-09-12
O060,"Incomplete, complicated by genital tract and pelvic infection",2025-09-12
O061,"Incomplete, complicated by delayed or excessive haemorrhage",2025-09-12
O062,"Incomplete, complicated by embolism",2025-09-12
O063,"Incomplete, with other and unspecified complications",2025-09-12
O064,"Incomplete, without complication",2025-09-12
O065,"Complete or unspecified, complicated by genital tract and pelvic infection",2025-09-12
O066,"Complete or unspecified, complicated by delayed or excessive haemorrhage",2025-09-12
O067,"Complete or unspecified, complicated by embolism",2025-09-12
O068,"Complete or unspecified, with other and unspecified complications",2025-09-12
O069,"Complete or unspecified, without complication",2025-09-12
O07,,2025-09-12
O070,"Failed medical abortion, complicated by genital tract and pelvic infection",2025-09-12
O071,"Failed medical abortion, complicated by delayed or excessive haemorrhage",2025-09-12
O072,"Failed medical abortion, complicated by embolism",2025-09-12
O073,"Failed medical abortion, with other and unspecified complications",2025-09-12
O074,"Failed medical abortion, without complication",2025-09-12
O075,"Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection",2025-09-12
O076,"Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage",2025-09-12
O077,"Other and unspecified failed attempted abortion, complicated by embolism",2025-09-12
O078,"Other and unspecified failed attempted abortion, with other and unspecified complications",2025-09-12
O079,"Other and unspecified failed attempted abortion, without complication",2025-09-12
O08,,2025-09-12
O080,Genital tract and pelvic infection following abortion and ectopic and molar pregnancy,2025-09-12
O081,Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy,2025-09-12
O082,Embolism following abortion and ectopic and molar pregnancy,2025-09-12
O083,Shock following abortion and ectopic and molar pregnancy,2025-09-12
O084,Renal failure following abortion and ectopic and molar pregnancy,2025-09-12
O085,Metabolic disorders following abortion and ectopic and molar pregnancy,2025-09-12
O086,Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy,2025-09-12
O087,Other venous complications following abortion and ectopic and molar pregnancy,2025-09-12
O088,Other complications following abortion and ectopic and molar pregnancy,2025-09-12
O089,"Complication following abortion and ectopic and molar pregnancy, unspecified",2025-09-12
O10,,2025-09-12
O100,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",2025-09-12
O101,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",2025-09-12
O102,"Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium",2025-09-12
O103,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium",2025-09-12
O104,"Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium",2025-09-12
O109,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium",2025-09-12
O11,,2025-09-12
O12,,2025-09-12
O120,Gestational oedema,2025-09-12
O121,Gestational proteinuria,2025-09-12
O122,Gestational oedema with proteinuria,2025-09-12
O13,,2025-09-12
O14,,2025-09-12
O140,Mild to moderate pre-eclampsia,2025-09-12
O141,Severe pre-eclampsia,2025-09-12
O142,HELLP syndrome,2025-09-12
O149,"Pre-eclampsia, unspecified",2025-09-12
O15,,2025-09-12
O150,Eclampsia in pregnancy,2025-09-12
O151,Eclampsia in labour,2025-09-12
O152,Eclampsia in the puerperium,2025-09-12
O159,"Eclampsia, unspecified as to time period",2025-09-12
O16,,2025-09-12
O20,,2025-09-12
O200,Threatened abortion,2025-09-12
O208,Other haemorrhage in early pregnancy,2025-09-12
O209,"Haemorrhage in early pregnancy, unspecified",2025-09-12
O21,,2025-09-12
O210,Mild hyperemesis gravidarum,2025-09-12
O211,Hyperemesis gravidarum with metabolic disturbance,2025-09-12
O212,Late vomiting of pregnancy,2025-09-12
O218,Other vomiting complicating pregnancy,2025-09-12
O219,"Vomiting of pregnancy, unspecified",2025-09-12
O22,,2025-09-12
O220,Varicose veins of lower extremity in pregnancy,2025-09-12
O221,Genital varices in pregnancy,2025-09-12
O222,Superficial thrombophlebitis in pregnancy,2025-09-12
O223,Deep phlebothrombosis in pregnancy,2025-09-12
O224,Haemorrhoids in pregnancy,2025-09-12
O225,Cerebral venous thrombosis in pregnancy,2025-09-12
O228,Other venous complications in pregnancy,2025-09-12
O229,"Venous complication in pregnancy, unspecified",2025-09-12
O23,,2025-09-12
O230,Infections of kidney in pregnancy,2025-09-12
O231,Infections of bladder in pregnancy,2025-09-12
O232,Infections of urethra in pregnancy,2025-09-12
O233,Infections of other parts of urinary tract in pregnancy,2025-09-12
O234,Unspecified infection of urinary tract in pregnancy,2025-09-12
O235,Infections of the genital tract in pregnancy,2025-09-12
O239,Other and unspecified genitourinary tract infection in pregnancy,2025-09-12
O24,,2025-09-12
O240,Pre-existing type 1 diabetes mellitus,2025-09-12
O241,Pre-existing type 2 diabetes mellitus,2025-09-12
O242,Pre-existing malnutrition-related diabetes mellitus,2025-09-12
O243,"Pre-existing diabetes mellitus, unspecified",2025-09-12
O244,Diabetes mellitus arising in pregnancy,2025-09-12
O249,"Diabetes mellitus in pregnancy, unspecified",2025-09-12
O25,,2025-09-12
O26,,2025-09-12
O260,Excessive weight gain in pregnancy,2025-09-12
O261,Low weight gain in pregnancy,2025-09-12
O262,Pregnancy care of habitual aborter,2025-09-12
O263,Retained intrauterine contraceptive device in pregnancy,2025-09-12
O264,Herpes gestationis,2025-09-12
O265,Maternal hypotension syndrome,2025-09-12
O266,"Liver disorders in pregnancy, childbirth and the puerperium",2025-09-12
O267,"Subluxation of symphysis (pubis) in pregnancy, childbirth and the puerperium",2025-09-12
O268,Other specified pregnancy-related conditions,2025-09-12
O269,"Pregnancy-related condition, unspecified",2025-09-12
O28,,2025-09-12
O280,Abnormal haematological finding on antenatal screening of mother,2025-09-12
O281,Abnormal biochemical finding on antenatal screening of mother,2025-09-12
O282,Abnormal cytological finding on antenatal screening of mother,2025-09-12
O283,Abnormal ultrasonic finding on antenatal screening of mother,2025-09-12
O284,Abnormal radiological finding on antenatal screening of mother,2025-09-12
O285,Abnormal chromosomal and genetic finding on antenatal screening of mother,2025-09-12
O288,Other abnormal findings on antenatal screening of mother,2025-09-12
O289,"Abnormal finding on antenatal screening of mother, unspecified",2025-09-12
O29,,2025-09-12
O290,Pulmonary complications of anaesthesia during pregnancy,2025-09-12
O291,Cardiac complications of anaesthesia during pregnancy,2025-09-12
O292,Central nervous system complications of anaesthesia during pregnancy,2025-09-12
O293,Toxic reaction to local anaesthesia during pregnancy,2025-09-12
O294,Spinal and epidural anaesthesia-induced headache during pregnancy,2025-09-12
O295,Other complications of spinal and epidural anaesthesia during pregnancy,2025-09-12
O296,Failed or difficult intubation during pregnancy,2025-09-12
O298,Other complications of anaesthesia during pregnancy,2025-09-12
O299,"Complication of anaesthesia during pregnancy, unspecified",2025-09-12
O30,,2025-09-12
O300,Twin pregnancy,2025-09-12
O301,Triplet pregnancy,2025-09-12
O302,Quadruplet pregnancy,2025-09-12
O308,Other multiple gestation,2025-09-12
O309,"Multiple gestation, unspecified",2025-09-12
O31,,2025-09-12
O310,Papyraceous fetus,2025-09-12
O311,Continuing pregnancy after abortion of one fetus or more,2025-09-12
O312,Continuing pregnancy after intrauterine death of one fetus or more,2025-09-12
O318,Other complications specific to multiple gestation,2025-09-12
O32,,2025-09-12
O320,Maternal care for unstable lie,2025-09-12
O321,Maternal care for breech presentation,2025-09-12
O322,Maternal care for transverse and oblique lie,2025-09-12
O323,"Maternal care for face, brow and chin presentation",2025-09-12
O324,Maternal care for high head at term,2025-09-12
O325,Maternal care for multiple gestation with malpresentation of one fetus or more,2025-09-12
O326,Maternal care for compound presentation,2025-09-12
O328,Maternal care for other malpresentation of fetus,2025-09-12
O329,"Maternal care for malpresentation of fetus, unspecified",2025-09-12
O33,,2025-09-12
O330,Maternal care for disproportion due to deformity of maternal pelvic bones,2025-09-12
O331,Maternal care for disproportion due to generally contracted pelvis,2025-09-12
O332,Maternal care for disproportion due to inlet contraction of pelvis,2025-09-12
O333,Maternal care for disproportion due to outlet contraction of pelvis,2025-09-12
O334,Maternal care for disproportion of mixed maternal and fetal origin,2025-09-12
O335,Maternal care for disproportion due to unusually large fetus,2025-09-12
O336,Maternal care for disproportion due to hydrocephalic fetus,2025-09-12
O337,Maternal care for disproportion due to other fetal deformities,2025-09-12
O338,Maternal care for disproportion of other origin,2025-09-12
O339,"Maternal care for disproportion, unspecified",2025-09-12
O34,,2025-09-12
O340,Maternal care for congenital malformation of uterus,2025-09-12
O341,Maternal care for tumour of corpus uteri,2025-09-12
O342,Maternal care due to uterine scar from previous surgery,2025-09-12
O343,Maternal care for cervical incompetence,2025-09-12
O344,Maternal care for other abnormalities of cervix,2025-09-12
O345,Maternal care for other abnormalities of gravid uterus,2025-09-12
O346,Maternal care for abnormality of vagina,2025-09-12
O347,Maternal care for abnormality of vulva and perineum,2025-09-12
O348,Maternal care for other abnormalities of pelvic organs,2025-09-12
O349,"Maternal care for abnormality of pelvic organ, unspecified",2025-09-12
O35,,2025-09-12
O350,Maternal care for (suspected) central nervous system malformation in fetus,2025-09-12
O351,Maternal care for (suspected) chromosomal abnormality in fetus,2025-09-12
O352,Maternal care for (suspected) hereditary disease in fetus,2025-09-12
O353,Maternal care for (suspected) damage to fetus from viral disease in mother,2025-09-12
O354,Maternal care for (suspected) damage to fetus from alcohol,2025-09-12
O355,Maternal care for (suspected) damage to fetus by drugs,2025-09-12
O356,Maternal care for (suspected) damage to fetus by radiation,2025-09-12
O357,Maternal care for (suspected) damage to fetus by other medical procedures,2025-09-12
O358,Maternal care for other (suspected) fetal abnormality and damage,2025-09-12
O359,"Maternal care for (suspected) fetal abnormality and damage, unspecified",2025-09-12
O36,,2025-09-12
O360,Maternal care for rhesus isoimmunization,2025-09-12
O361,Maternal care for other isoimmunization,2025-09-12
O362,Maternal care for hydrops fetalis,2025-09-12
O363,Maternal care for signs of fetal hypoxia,2025-09-12
O364,Maternal care for intrauterine death,2025-09-12
O365,Maternal care for poor fetal growth,2025-09-12
O366,Maternal care for excessive fetal growth,2025-09-12
O367,Maternal care for viable fetus in abdominal pregnancy,2025-09-12
O368,Maternal care for other specified fetal problems,2025-09-12
O369,"Maternal care for fetal problem, unspecified",2025-09-12
O40,,2025-09-12
O41,,2025-09-12
O410,Oligohydramnios,2025-09-12
O411,Infection of amniotic sac and membranes,2025-09-12
O418,Other specified disorders of amniotic fluid and membranes,2025-09-12
O419,"Disorder of amniotic fluid and membranes, unspecified",2025-09-12
O42,,2025-09-12
O420,"Premature rupture of membranes, onset of labour within 24 hours",2025-09-12
O421,"Premature rupture of membranes, onset of labour after 24 hours",2025-09-12
O422,"Premature rupture of membranes, labour delayed by therapy",2025-09-12
O429,"Premature rupture of membranes, unspecified",2025-09-12
O43,,2025-09-12
O430,Placental transfusion syndromes,2025-09-12
O431,Malformation of placenta,2025-09-12
O432,Morbidly adherent placenta,2025-09-12
O438,Other placental disorders,2025-09-12
O439,"Placental disorder, unspecified",2025-09-12
O44,,2025-09-12
O440,Placenta praevia specified as without haemorrhage,2025-09-12
O441,Placenta praevia with haemorrhage,2025-09-12
O45,,2025-09-12
O450,Premature separation of placenta with coagulation defect,2025-09-12
O458,Other premature separation of placenta,2025-09-12
O459,"Premature separation of placenta, unspecified",2025-09-12
O46,,2025-09-12
O460,Antepartum haemorrhage with coagulation defect,2025-09-12
O468,Other antepartum haemorrhage,2025-09-12
O469,"Antepartum haemorrhage, unspecified",2025-09-12
O47,,2025-09-12
O470,False labour before 37 completed weeks of gestation,2025-09-12
O471,False labour at or after 37 completed weeks of gestation,2025-09-12
O479,"False labour, unspecified",2025-09-12
O48,,2025-09-12
O60,,2025-09-12
O600,Preterm labour without delivery,2025-09-12
O601,Preterm spontaneous labour with preterm delivery,2025-09-12
O602,Preterm spontaneous labour with term delivery,2025-09-12
O603,Preterm delivery without spontaneous labour,2025-09-12
O61,,2025-09-12
O610,Failed medical induction of labour,2025-09-12
O611,Failed instrumental induction of labour,2025-09-12
O618,Other failed induction of labour,2025-09-12
O619,"Failed induction of labour, unspecified",2025-09-12
O62,,2025-09-12
O620,Primary inadequate contractions,2025-09-12
O621,Secondary uterine inertia,2025-09-12
O622,Other uterine inertia,2025-09-12
O623,Precipitate labour,2025-09-12
O624,"Hypertonic, incoordinate, and prolonged uterine contractions",2025-09-12
O628,Other abnormalities of forces of labour,2025-09-12
O629,"Abnormality of forces of labour, unspecified",2025-09-12
O63,,2025-09-12
O630,Prolonged first stage (of labour),2025-09-12
O631,Prolonged second stage (of labour),2025-09-12
O632,"Delayed delivery of second twin, triplet, etc.",2025-09-12
O639,"Long labour, unspecified",2025-09-12
O64,,2025-09-12
O640,Obstructed labour due to incomplete rotation of fetal head,2025-09-12
O641,Obstructed labour due to breech presentation,2025-09-12
O642,Obstructed labour due to face presentation,2025-09-12
O643,Obstructed labour due to brow presentation,2025-09-12
O644,Obstructed labour due to shoulder presentation,2025-09-12
O645,Obstructed labour due to compound presentation,2025-09-12
